Year,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1990,31367,24828,43153,29402,22352,37998,30758,40461,33377,38402,28803,28006,32047,23861,32794,30902,26747,28744,26292,24300,26881,36319,34712,37072,32190,24292,27094,25081,25522,30590,28986,35676,24756,38925,27883,23016,31218,23070,30840,33338,36057,27217,21300,27052,27496,23686,29012,30938,30457,22842,31921,28141
1991,33061,26874,43427,30773,23611,39598,31819,43808,35246,39497,30555,28976,32541,25485,34605,32757,27977,29767,29115,26240,28531,38382,36460,39449,33126,24366,27202,26774,26592,32209,31200,38411,25735,42080,29276,23574,32615,24457,32300,36057,34997,28301,22376,28248,28321,25578,31236,32153,33079,25967,33209,28948
1992,34015,26971,44661,31176,27070,39922,33072,46971,34548,38798,31070,29372,34528,26334,36461,34006,29202,28759,30870,25963,30097,38728,37845,41490,34451,24367,27765,27590,27231,33857,33170,41027,26239,43335,28791,24495,33212,25339,34100,38715,36417,28068,23291,28621,29041,26339,33646,31764,34823,27366,35227,30425
1993,34974,26953,46701,31352,27433,40035,33541,48343,36217,38702,31172,30223,36470,27011,38632,35066,30130,30243,31115,26102,30250,38753,38681,43901,35093,24367,28238,27617,28754,34119,33931,42680,26532,44999,29315,25211,34519,25918,36008,41215,37933,29224,24289,28960,29935,27239,34824,32257,35759,30301,35926,30080
1994,35705,28705,47512,31800,28098,40264,33826,49769,37469,42543,31944,30712,36564,27756,39387,35712,30760,31297,31625,26095,30996,39453,39012,44856,35440,25153,29088,28200,29564,33955,34121,45442,27202,45772,29728,25506,35673,27009,37713,42411,39261,29566,25259,30514,30529,27706,34517,33009,35863,30549,35990,30952
1995,36757,31144,47951,32574,28934,41078,34571,50045,39076,41835,32588,32291,38518,29785,39431,36785,31511,31815,32257,26461,31972,40661,40718,46463,35948,26818,29949,28785,30922,34836,34720,46908,28493,47612,30793,26327,36802,28172,38555,44510,40729,30279,25994,32477,31223,29082,35406,33987,36151,31944,37746,31285
1996,37585,31313,49620,32483,29533,42259,35364,50254,40533,43700,33330,34002,35807,30892,40919,37675,32372,32382,33080,27530,32869,41160,41760,46832,36922,27692,30992,29364,31496,36167,35792,48585,29074,48115,30411,26969,37835,28404,39706,46087,41765,31622,26346,33126,31400,30588,36295,34792,37853,32155,38182,31571
1997,38413,32549,50647,33685,30578,42992,36271,50426,41436,44834,33889,35596,35842,31820,42125,38845,33272,32865,33949,29025,33676,41148,42650,47181,38115,27720,31846,29958,31768,37340,36029,49656,30131,48000,31167,27711,38677,30369,40960,47148,43019,32830,26764,34222,32426,31867,36053,35536,37805,33250,39057,31715
1998,39346,32818,47601,34411,31837,44585,37240,50730,42439,47076,34475,37569,38377,32834,43690,39750,34084,33579,34613,31131,34349,41739,44051,47168,37932,28692,32582,30620,32668,37094,36663,50322,30152,48712,33129,28230,39596,30692,42200,47542,44300,33697,27875,34584,33537,32482,36299,36428,38759,33396,39357,31972
1999,40517,35820,46845,34983,32330,46129,38157,51424,43164,47076,35916,39675,39871,34442,45269,41159,35007,34369,35526,32384,34906,43112,45149,47448,39458,29530,33433,31354,32880,38735,37405,51062,32398,49490,36883,28976,40561,31115,41304,48457,45650,34506,28553,35490,34336,33917,36700,37565,38688,34244,40657,33464
2000,41790,36689,46462,36902,33386,47680,38163,51780,44435,47076,36722,41023,40578,35547,46486,41850,35678,34981,36380,33109,35561,44048,46580,49044,39802,31857,34214,32121,33237,39390,37734,51498,32554,51020,39404,29863,41434,31294,42336,48321,47041,36081,29071,36328,37567,34946,37758,38744,41043,35009,41153,34127
2001,43378,37101,48123,37167,34641,52480,39183,52693,47047,48704,38230,42216,40052,37109,47847,43311,36479,35901,36589,33615,36373,45963,48649,51317,42212,31954,35235,33249,34175,40443,38301,51793,33785,51500,41496,30891,42693,34498,44989,49528,48474,37938,30265,37431,38361,36441,38253,40175,42137,35888,42122,34678
2002,44648,37183,49418,39973,36245,54348,40659,53551,48358,47049,39275,44073,42615,39174,49435,44030,38230,37093,37951,36328,37300,48251,49242,52477,43330,33295,36421,34379,36236,40763,40002,52790,36440,52000,42680,32253,44019,34738,46153,50599,49758,39923,31295,38515,39232,38139,39158,41771,43464,36751,42232,37853
2003,45688,38240,49685,40894,38167,55693,42680,55367,49533,50763,40281,45533,44464,39715,51475,45090,39059,37795,38881,37166,38518,49677,51803,53175,44745,35134,37687,35754,37896,42254,41909,53743,36965,53017,42411,33869,45490,34877,47463,51372,51076,40362,32416,39186,39974,38268,41491,40377,44958,38481,42775,38840
2004,46542,38285,51736,39541,39314,56444,43319,57337,49669,57009,40591,45988,45479,40111,54230,45791,38381,38623,40201,37918,39864,50261,53733,52161,45375,36190,38278,37184,38352,42254,42689,55180,37877,55181,43211,35629,47482,35061,47829,52590,52261,41162,33236,40318,40476,38976,42007,40666,45434,38461,42882,39532
2005,47540,38186,52424,40027,43092,57604,43965,57737,50595,58456,41590,46526,46149,40864,57539,46583,39284,39345,40959,39022,39610,52331,54701,53959,47410,38717,39078,38485,39456,43394,43941,56519,39391,55665,43383,36695,48692,37879,48320,53258,53473,42189,34040,42076,41011,37065,43009,41959,45718,38360,44299,40497
2006,49088,40327,53322,43941,43374,59825,44456,59304,54264,59000,43302,48300,49292,41150,58686,47255,41083,41467,42592,40029,40856,54333,56366,54739,47522,41158,40384,39832,40382,44426,45263,58156,41637,59681,43922,37764,50314,38772,50044,54027,54730,43011,34709,42537,41744,37543,44148,43569,46316,38284,46390,43296
2007,51142,43389,54679,44700,45590,63640,45831,62107,54680,59000,45308,49873,51922,42798,58246,47831,43130,43358,43646,42816,42103,56927,58258,55526,49718,43273,41751,41225,42080,45158,46797,59584,42780,63086,46137,38822,53534,42379,51471,54970,55956,43891,35378,43816,44897,37775,45337,45539,47882,40531,47901,50796
2008,52963,46604,56758,45772,45238,65808,47493,63722,55994,60628,46930,51520,53400,44099,60474,49155,45664,44795,47208,46964,43397,60069,64164,60430,50345,41768,43206,42874,43629,47710,48310,61277,45112,65491,47354,40279,53410,43551,52656,56092,57210,45758,36674,44820,46179,43175,46593,46680,49884,42529,49051,52961
2009,54354,46879,58395,46358,45738,66995,48485,65830,56667,62557,46921,52879,54964,45178,61022,49568,48638,46237,47875,48627,45184,63436,67572,60430,52414,41041,44249,44426,44968,50067,50128,63111,45752,69118,48454,41654,54656,43846,54085,57787,58440,47421,35070,45549,47157,45923,47884,48385,52567,44701,51121,54602
2010,55225,47571,60732,46952,46045,67932,49181,68096,57080,64548,46708,53112,55063,46464,62731,49986,49626,46660,49543,48903,46208,64005,68733,63023,52431,42307,45159,45759,46227,51524,51443,65130,46258,71633,46850,42877,55958,44261,55494,59156,59686,47508,38837,45497,48261,46340,49084,48043,53003,44505,51264,55861
2011,55586,47803,62918,46637,45998,67871,49228,69165,57934,66601,45732,52815,55063,45450,64509,50801,49844,46598,48908,49006,47249,63960,70340,61560,53680,41975,45321,47132,47965,53023,52792,66612,46888,72708,46700,44807,56715,44343,56503,60760,60923,47050,39850,45891,48638,45329,51372,47564,52926,44260,54207,56100
2012,55522,48003,62425,45193,46314,69755,49049,69465,58800,68720,46504,52938,54070,44435,57636,50516,50240,46718,49730,50179,47338,63634,70474,61560,54959,41976,46406,47839,47984,54559,54177,67078,45622,73398,45933,46058,56715,44391,56941,61934,62186,47428,38804,47082,48373,45432,53896,48114,52232,45399,53792,56774
2013,56065,47949,65468,45264,46631,69435,49844,69397,59679,70906,46598,52880,54300,44669,59113,50077,50946,47464,50203,51381,48430,64248,71620,61560,56268,41814,47517,48855,48842,55957,55599,67447,45453,75279,45737,47344,56307,44373,57600,62994,63474,48375,39018,47563,48819,45543,53735,48988,52234,45453,53797,56775
2014,56648,48720,65891,45335,47319,71396,49615,70583,59305,73162,47780,52924,56291,44465,60124,50289,52032,48221,50560,49067,49232,64546,73847,62166,54752,42187,46752,49893,49539,55813,57057,68238,45727,76409,44990,48666,55913,44547,58638,63701,64969,48430,40023,47742,49690,45695,55958,49786,52969,45086,53679,56583
2015,57611,48611,66755,47456,47823,74090,44421,71709,59707,75490,48992,53382,57189,45218,61083,50877,53408,47609,51155,49491,49926,65477,75398,61978,56670,42564,47423,50670,50525,56703,55986,69038,46625,77628,47792,48944,54672,45317,59464,64447,65918,48486,40934,47979,50713,46689,57642,50544,52502,45783,52264,57414
2016,58479,48518,67443,47218,48218,77179,51233,72013,59960,73991,46612,54190,56049,46122,63475,53645,54386,47755,52134,49745,50498,66456,76522,61875,56913,42744,47959,51034,51386,56943,56616,69330,47163,79152,47941,51223,56441,45276,60395,65151,66197,48769,42025,48817,51890,46887,55726,49690,53701,45622,54115,58140
2017,59660,50391,68138,47403,48304,79128,51808,73147,60214,75692,47267,55532,56651,47504,64933,54308,55647,49422,52338,50000,51077,68357,78100,62287,57346,42925,48618,51422,52338,57376,57522,69623,47122,81902,49970,52968,58202,45292,61862,66265,66477,50000,46979,50099,52575,47244,57349,51049,54433,45555,54998,58187
